FSR Readings
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
364
798
889
910
915
904
877
800
436
0
0
0
0
0
238
761
870
901
914
920
915
876
756
664
695
711
727
735
731
766
827
895
930
940
942
936
908
797
674
653
726
753
765
768
770
823
879
922
943
951
952
941
901
792
687
683
719
738
750
756
766
780
811
895
933
946
942
909
812
641
504
588
655
784
885
924
939
947
942
899
699
0
0
0
0
0
0
0
0
0
0
581
833
890
906
910
911
910
904
897
887
876
827
608
0
0
0
0
0
0
0
0
0
0
519
800
866
882
889
893
891
881
827
624
74
0
0
0
0
0
692
868
915
929
937
942
946
949
949
928
802
328
0
0
0
0
0
0
0
106
735
884
926
946
957
961
966
967
970
971
972
971
966
928
792
366
0
0
0
755
886
918
934
946
953
960
963
965
967
968
968
964
931
783
303
0
0
0
0
0
529
839
915
942
956
961
964
967
967
968
968
968
968
969
968
965
934
760
0
0
0
0
281
826
919
943
957
963
967
968
970
970
971
971
972
972
973
971
952
821
393
0
0
0
450
849
904
924
933
940
946
948
947
940
938
933
920
867
658
419
478
351
807
871
892
892
861
794
706
627
599
371
21
64
627
744
767
716
635
572
590
623
663
697
731
761
725
743
726
708
656
611
670
681
593
542
654
716
630
547
541
687
699
626
555
576
680
674
621
615
727
738
662
603
686
738
717
607
569
678
667
538
521
639
644
539
471
583
571
446
373
514
498
262
252
50
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
